timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1530469058297,525114,obtenerEncuesta,400,Bad Request,bzm - Concurrency Thread Group 1-11,text,false,,639,193,500,500,525071,0,228
1530469058304,525108,obtenerEncuesta,400,Bad Request,bzm - Concurrency Thread Group 1-29,text,false,,639,193,500,500,525062,0,218
1530469058301,528381,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-41,text,true,,43938,193,500,500,528254,0,221
1530469058297,528416,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-27,text,true,,43935,193,500,500,528290,0,216
1530469058301,528422,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-36,text,true,,43925,193,500,500,528103,0,224
1530469058315,528517,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-2,text,true,,43935,193,500,500,528211,0,206
1530469058303,528533,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-47,text,true,,43929,193,500,500,528326,0,219
1530469058303,528872,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-20,text,true,,43938,193,500,500,528491,0,219
1530469058297,528955,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-8,text,true,,43929,193,500,500,528636,0,228
1530469058297,529053,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-33,text,true,,43941,193,500,500,528681,0,228
1530469058300,529125,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-5,text,true,,43938,193,500,500,528623,0,220
1530469058316,529112,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-4,text,true,,43928,193,500,500,528649,0,206
1530469058303,529158,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-46,text,true,,43931,193,500,500,528643,0,220
1530469058304,529206,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-50,text,true,,43932,193,500,500,528727,0,208
1530469058297,529213,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-25,text,true,,43926,193,500,500,528707,0,218
1530469058301,529223,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-22,text,true,,43935,193,500,500,528634,0,222
1530469058301,529315,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-43,text,true,,43932,193,500,500,528754,0,215
1530469058316,529315,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-13,text,true,,43932,193,500,500,528657,0,207
1530469058299,529334,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-18,text,true,,43926,193,500,500,528719,0,218
1530469058316,529392,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-44,text,true,,43925,193,500,500,528764,0,199
1530469058301,529410,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-14,text,true,,43938,193,500,500,528822,0,218
1530469058315,529397,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-28,text,true,,43928,193,500,500,528682,0,208
1530469058297,529428,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-17,text,true,,43938,193,500,500,528771,0,223
1530469058301,529451,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-6,text,true,,43932,193,500,500,528855,0,218
1530469058302,529450,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-39,text,true,,43938,193,500,500,528800,0,217
1530469058302,529452,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-24,text,true,,43935,193,500,500,528781,0,220
1530469058316,529447,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-10,text,true,,43929,193,500,500,528742,0,205
1530469058316,529615,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-15,text,true,,43935,193,500,500,528896,0,206
1530469058301,529660,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-19,text,true,,43929,193,500,500,529088,0,219
1530469058316,529927,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-48,text,true,,43946,193,500,500,529536,0,201
1530469058304,530172,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-23,text,true,,43932,193,500,500,530146,0,220
1530469058299,531706,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-35,text,true,,43931,193,500,500,531677,0,225
1530469069953,1058961,obtenerEncuesta,400,Bad Request,bzm - Concurrency Thread Group 1-84,text,false,,639,193,500,500,1058961,0,1
1530469070011,1058903,obtenerEncuesta,400,Bad Request,bzm - Concurrency Thread Group 1-100,text,false,,639,193,500,500,1058899,0,1
1530469058302,2579318,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-3,text,true,,43935,193,500,500,2579295,0,221
1530469058316,2582967,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-7,text,true,,43932,193,500,500,2582946,0,200
1530469058302,2598344,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-37,text,true,,43935,193,500,500,2598342,0,223
1530469058316,2604985,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-16,text,true,,43926,193,500,500,2604975,0,206
1530469069939,3010146,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-78,text,true,,43935,193,500,500,3009927,0,2
1530469058304,3086366,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-42,text,true,,43932,193,500,500,3086192,0,220
1530469069875,3074829,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-55,text,true,,43926,193,500,500,3074615,0,3
1530469069977,3074727,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-92,text,true,,43929,193,500,500,3014117,0,0
